id_student,num_of_prev_attempts,studied_credits,disability,withdrew,avg_score,num_assessments,total_clicks,active_days,avg_clicks_per_day,gender_M,region_East Midlands Region,region_Ireland,region_London Region,region_North Region,region_North Western Region,region_Scotland,region_South East Region,region_South Region,region_South West Region,region_Wales,region_West Midlands Region,region_Yorkshire Region,highest_education_HE Qualification,highest_education_Lower Than A Level,highest_education_No Formal quals,highest_education_Post Graduate Qualification,age_band_35-55,age_band_55<=,imd_band_10-20,imd_band_20-30%,imd_band_30-40%,imd_band_40-50%,imd_band_50-60%,imd_band_60-70%,imd_band_70-80%,imd_band_80-90%,imd_band_90-100%
11391,0,240,0,0,82.0,5.0,934.0,40.0,4.76530612244898,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True,False,False,False,False,False,False,False,False,True
28400,0,60,0,0,66.4,5.0,1435.0,80.0,3.3372093023255816,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,True,False,False,True,False,False,False,False,False,False,False
30268,0,60,1,1,0.0,0.0,281.0,12.0,3.6973684210526314,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,True,False,False,False,False,False,False
31604,0,60,0,0,76.0,5.0,2158.0,123.0,3.2549019607843137,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False
32885,0,60,0,0,54.4,5.0,1034.0,70.0,2.9375,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False
38053,0,60,0,0,68.0,5.0,2445.0,143.0,3.3817427385892116,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,True,False
45462,0,60,0,0,68.0,5.0,1492.0,90.0,4.20281690140845,True,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False
45642,0,120,0,0,72.4,5.0,1428.0,105.0,2.689265536723164,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
52130,0,90,0,0,71.4,5.0,1894.0,122.0,3.193929173693086,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
53025,0,60,0,0,78.0,5.0,3158.0,142.0,3.493362831858407,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False
57506,0,60,0,0,74.0,5.0,1319.0,90.0,3.272952853598015,True,False,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,False
58873,0,60,0,0,73.2,5.0,1732.0,120.0,3.2927756653992395,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
59185,0,60,0,0,78.6,5.0,1102.0,61.0,3.1942028985507247,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,True,False,False,False,False,False,False,True,False,False,False
62155,0,60,0,0,76.0,5.0,3388.0,148.0,3.45361875637105,False,False,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False
