code_module,code_presentation,id_student,gender,region,highest_education,imd_band,age_band,num_of_prev_attempts,studied_credits,disability,final_result,date_unregistration,withdrew,avg_score,num_assessments,total_clicks,active_days,avg_clicks_per_day,target
AAA,2013J,11391,M,East Anglian Region,HE Qualification,90-100%,55<=,0,240,N,Pass,,0,82.0,5.0,934.0,40.0,4.76530612244898,1
AAA,2013J,28400,F,Scotland,HE Qualification,20-30%,35-55,0,60,N,Pass,,0,66.4,5.0,1435.0,80.0,3.3372093023255816,1
AAA,2013J,30268,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,12.0,1,,,281.0,12.0,3.6973684210526314,0
AAA,2013J,31604,F,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,,0,76.0,5.0,2158.0,123.0,3.2549019607843137,1
AAA,2013J,32885,F,West Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,,0,54.4,5.0,1034.0,70.0,2.9375,1
AAA,2013J,38053,M,Wales,A Level or Equivalent,80-90%,35-55,0,60,N,Pass,,0,68.0,5.0,2445.0,143.0,3.3817427385892116,1
AAA,2013J,45462,M,Scotland,HE Qualification,30-40%,0-35,0,60,N,Pass,,0,68.0,5.0,1492.0,90.0,4.20281690140845,1
AAA,2013J,45642,F,North Western Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,,0,72.4,5.0,1428.0,105.0,2.689265536723164,1
AAA,2013J,52130,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,90,N,Pass,,0,71.4,5.0,1894.0,122.0,3.193929173693086,1
AAA,2013J,53025,M,North Region,Post Graduate Qualification,,55<=,0,60,N,Pass,,0,78.0,5.0,3158.0,142.0,3.493362831858407,1
AAA,2013J,57506,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,,0,74.0,5.0,1319.0,90.0,3.272952853598015,1
AAA,2013J,58873,F,East Anglian Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,,0,73.2,5.0,1732.0,120.0,3.2927756653992395,1
AAA,2013J,59185,M,East Anglian Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,,0,78.6,5.0,1102.0,61.0,3.1942028985507247,1
AAA,2013J,62155,F,North Western Region,HE Qualification,50-60%,0-35,0,60,N,Pass,,0,76.0,5.0,3388.0,148.0,3.45361875637105,1
AAA,2013J,63400,M,Scotland,Lower Than A Level,40-50%,35-55,0,60,N,Pass,,0,71.6,5.0,2737.0,175.0,3.6013157894736842,1
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,96.0,1,67.0,4.0,176.0,13.0,3.142857142857143,0
AAA,2013J,65002,F,East Anglian Region,A Level or Equivalent,70-80%,0-35,0,60,N,Withdrawn,,0,67.0,4.0,176.0,13.0,3.142857142857143,0
AAA,2013J,70464,F,West Midlands Region,A Level or Equivalent,60-70%,35-55,0,60,N,Pass,,0,55.6,5.0,1053.0,46.0,5.136585365853659,1
AAA,2013J,71361,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,,0,80.4,5.0,2327.0,135.0,3.1964285714285716,1
AAA,2013J,74372,M,East Anglian Region,A Level or Equivalent,10-20,35-55,0,150,N,Fail,,0,48.5,4.0,116.0,14.0,1.6111111111111112,0
AAA,2013J,75091,M,South West Region,A Level or Equivalent,30-40%,35-55,0,60,N,Pass,,0,66.0,5.0,2992.0,122.0,3.9681697612732094,1
AAA,2013J,77367,M,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,,0,70.4,5.0,680.0,86.0,2.5092250922509227,1
AAA,2013J,91265,M,North Western Region,HE Qualification,0-10%,0-35,0,60,N,Pass,,0,70.8,5.0,1494.0,125.0,3.0120967741935485,1
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,72.0,1,65.33333333333333,6.0,1240.0,93.0,2.973621103117506,0
AAA,2013J,94961,M,South Region,Lower Than A Level,70-80%,35-55,0,60,N,Withdrawn,,0,65.33333333333333,6.0,1240.0,93.0,2.973621103117506,0
AAA,2013J,98094,M,Wales,Lower Than A Level,70-80%,35-55,0,60,N,Pass,,0,60.6,5.0,2839.0,91.0,7.3549222797927465,1
AAA,2013J,100893,M,Yorkshire Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,,0,68.4,5.0,744.0,52.0,3.0617283950617282,1
AAA,2013J,101781,M,South Region,Lower Than A Level,80-90%,35-55,0,60,N,Pass,,0,72.6,5.0,4104.0,144.0,4.495071193866375,1
AAA,2013J,102806,M,North Western Region,A Level or Equivalent,30-40%,0-35,0,60,N,Pass,,0,78.0,5.0,1944.0,177.0,2.4891165172855314,1
AAA,2013J,102952,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,,0,76.6,5.0,1150.0,58.0,3.6741214057507987,1
AAA,2013J,104476,M,Ireland,Post Graduate Qualification,,35-55,0,60,N,Pass,,0,79.6,5.0,4777.0,161.0,4.815524193548387,1
AAA,2013J,106247,M,South Region,HE Qualification,80-90%,35-55,0,60,N,Withdrawn,175.0,1,60.0,3.0,465.0,33.0,3.206896551724138,0
AAA,2013J,106577,M,East Midlands Region,Lower Than A Level,20-30%,0-35,0,60,N,Pass,,0,53.4,5.0,733.0,47.0,3.316742081447964,1
AAA,2013J,110175,M,East Anglian Region,HE Qualification,80-90%,35-55,0,60,N,Pass,,0,63.4,5.0,998.0,70.0,2.9096209912536444,1
AAA,2013J,111717,F,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,,0,81.0,3.0,2343.0,136.0,3.9779286926994906,1
AAA,2013J,113295,M,Yorkshire Region,Lower Than A Level,60-70%,35-55,0,60,N,Pass,,0,77.6,5.0,3553.0,195.0,3.5494505494505493,1
AAA,2013J,114017,F,North Region,Post Graduate Qualification,,35-55,0,60,N,Pass,,0,71.8,5.0,757.0,50.0,3.277056277056277,1
AAA,2013J,114999,M,Yorkshire Region,HE Qualification,60-70%,35-55,0,60,N,Pass,,0,72.8,5.0,1358.0,120.0,2.6627450980392156,1
AAA,2013J,116541,M,Wales,HE Qualification,0-10%,0-35,0,60,N,Pass,,0,62.4,5.0,1886.0,108.0,3.669260700389105,1
AAA,2013J,116692,M,East Anglian Region,A Level or Equivalent,70-80%,35-55,0,60,N,Pass,,0,74.2,5.0,1108.0,98.0,3.562700964630225,1
AAA,2013J,118983,M,East Midlands Region,HE Qualification,30-40%,0-35,0,120,N,Pass,,0,61.8,5.0,284.0,27.0,2.5585585585585586,1
AAA,2013J,123044,M,South Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,,0,71.4,5.0,2041.0,127.0,3.401666666666667,1
AAA,2013J,127582,F,East Midlands Region,A Level or Equivalent,40-50%,0-35,0,180,N,Pass,,0,69.6,5.0,1321.0,89.0,3.0022727272727274,1
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,135.0,1,81.0,6.0,1888.0,110.0,3.515828677839851,0
AAA,2013J,129955,M,West Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Withdrawn,143.0,1,81.0,6.0,1888.0,110.0,3.515828677839851,0
AAA,2013J,132976,F,East Anglian Region,Lower Than A Level,80-90%,35-55,0,120,N,Pass,,0,67.4,5.0,520.0,32.0,3.4210526315789473,1
AAA,2013J,134143,F,South East Region,A Level or Equivalent,90-100%,35-55,0,60,N,Distinction,,0,84.4,5.0,2732.0,138.0,4.801405975395431,1
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,30.0,1,,,73.0,14.0,2.1470588235294117,0
AAA,2013J,135335,F,East Anglian Region,Lower Than A Level,20-30%,0-35,0,180,N,Withdrawn,24.0,1,,,73.0,14.0,2.1470588235294117,0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,144.0,1,53.142857142857146,7.0,610.0,43.0,3.01980198019802,0
AAA,2013J,135400,F,South East Region,Lower Than A Level,90-100%,35-55,0,60,Y,Withdrawn,,0,53.142857142857146,7.0,610.0,43.0,3.01980198019802,0
AAA,2013J,137873,M,South West Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,,0,80.2,5.0,5528.0,192.0,3.923349893541519,1
AAA,2013J,141355,F,East Midlands Region,A Level or Equivalent,30-40%,0-35,0,240,N,Pass,,0,72.6,5.0,1823.0,92.0,3.1162393162393163,1
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,129.0,1,48.833333333333336,6.0,756.0,41.0,3.024,0
AAA,2013J,141377,M,South West Region,A Level or Equivalent,90-100%,0-35,0,345,N,Withdrawn,,0,48.833333333333336,6.0,756.0,41.0,3.024,0
AAA,2013J,142326,F,North Region,A Level or Equivalent,50-60%,35-55,0,60,N,Pass,,0,73.6,5.0,2121.0,95.0,3.3613312202852614,1
AAA,2013J,144801,F,South Region,HE Qualification,80-90%,35-55,0,60,N,Pass,,0,68.8,5.0,5645.0,200.0,3.484567901234568,1
AAA,2013J,145130,M,South West Region,HE Qualification,60-70%,0-35,0,120,N,Pass,,0,54.4,5.0,452.0,35.0,3.033557046979866,1
AAA,2013J,146188,F,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,Y,Fail,,0,50.0,5.0,597.0,32.0,3.109375,0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,,0,68.66666666666667,9.0,1718.0,127.0,2.911864406779661,0
AAA,2013J,147756,M,North Region,Lower Than A Level,60-70%,0-35,0,120,N,Fail,,0,68.66666666666667,9.0,1718.0,127.0,2.911864406779661,0
AAA,2013J,147793,F,North Region,Lower Than A Level,80-90%,0-35,0,90,N,Withdrawn,58.0,1,52.0,1.0,155.0,9.0,3.7804878048780486,0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,158.0,1,79.5,8.0,3812.0,198.0,2.99685534591195,0
AAA,2013J,148993,F,North Western Region,A Level or Equivalent,30-40%,35-55,0,60,Y,Withdrawn,,0,79.5,8.0,3812.0,198.0,2.99685534591195,0
AAA,2013J,151358,F,London Region,A Level or Equivalent,80-90%,0-35,0,150,N,Pass,,0,50.0,5.0,270.0,20.0,3.033707865168539,1
AAA,2013J,155550,M,London Region,A Level or Equivalent,0-10%,35-55,0,420,N,Pass,,0,67.0,5.0,1529.0,81.0,3.649164677804296,1
AAA,2013J,155854,F,East Midlands Region,A Level or Equivalent,20-30%,35-55,0,60,N,Pass,,0,79.8,5.0,4003.0,202.0,4.156801661474558,1
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,191.0,1,78.14285714285714,7.0,2645.0,134.0,3.2816377171215882,0
AAA,2013J,155984,F,East Anglian Region,Lower Than A Level,70-80%,0-35,0,60,N,Withdrawn,,0,78.14285714285714,7.0,2645.0,134.0,3.2816377171215882,0
AAA,2013J,157568,F,South West Region,A Level or Equivalent,90-100%,0-35,0,60,N,Pass,,0,70.6,5.0,1405.0,87.0,3.639896373056995,1
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,123.0,1,68.2,5.0,2062.0,124.0,3.182098765432099,0
AAA,2013J,159954,M,East Midlands Region,A Level or Equivalent,40-50%,35-55,0,60,N,Withdrawn,201.0,1,68.2,5.0,2062.0,124.0,3.182098765432099,0
AAA,2013J,164259,M,Scotland,A Level or Equivalent,70-80%,0-35,0,60,N,Pass,,0,71.8,5.0,466.0,51.0,1.9497907949790796,1
AAA,2013J,167906,F,Yorkshire Region,A Level or Equivalent,40-50%,35-55,0,60,N,Pass,,0,69.4,5.0,1510.0,99.0,2.9320388349514563,1
AAA,2013J,168936,F,West Midlands Region,Lower Than A Level,10-20,35-55,0,60,N,Pass,,0,66.4,5.0,745.0,42.0,2.466887417218543,1
AAA,2013J,172112,M,Ireland,HE Qualification,,35-55,0,60,N,Pass,,0,69.6,5.0,1939.0,135.0,2.781922525107604,1
AAA,2013J,172797,F,Ireland,A Level or Equivalent,,35-55,0,60,N,Pass,,0,61.4,5.0,1782.0,86.0,4.293975903614458,1
AAA,2013J,174782,M,East Anglian Region,HE Qualification,90-100%,55<=,0,60,N,Pass,,0,80.4,5.0,6318.0,249.0,3.8454047474132684,1
AAA,2013J,175392,M,North Region,HE Qualification,,35-55,0,60,N,Pass,,0,82.4,5.0,4447.0,197.0,3.3920671243325704,1
AAA,2013J,175932,M,North Western Region,HE Qualification,70-80%,35-55,0,60,N,Pass,,0,78.2,5.0,2016.0,97.0,4.613272311212815,1
AAA,2013J,175991,F,North Western Region,A Level or Equivalent,80-90%,0-35,0,180,N,Fail,,0,37.6,5.0,138.0,17.0,2.76,0
AAA,2013J,180753,M,South West Region,A Level or Equivalent,30-40%,0-35,0,120,N,Pass,,0,53.4,5.0,2012.0,157.0,2.344988344988345,1
AAA,2013J,181316,F,South West Region,A Level or Equivalent,80-90%,35-55,0,120,N,Withdrawn,60.0,1,76.0,1.0,487.0,20.0,3.3586206896551722,0
AAA,2013J,183096,F,South West Region,A Level or Equivalent,60-70%,0-35,0,60,N,Pass,,0,54.0,5.0,1975.0,116.0,3.610603290676417,1
AAA,2013J,183947,M,London Region,A Level or Equivalent,10-20,0-35,0,180,N,Pass,,0,49.0,5.0,964.0,58.0,2.619565217391304,1
AAA,2013J,184271,M,South West Region,HE Qualification,80-90%,35-55,0,170,N,Pass,,0,59.8,5.0,1312.0,147.0,2.750524109014675,1
AAA,2013J,185439,M,London Region,HE Qualification,10-20,0-35,0,120,N,Fail,,0,74.0,1.0,427.0,15.0,4.313131313131313,0
AAA,2013J,186149,M,Scotland,HE Qualification,30-40%,35-55,0,60,N,Pass,,0,76.0,5.0,2136.0,109.0,3.651282051282051,1
AAA,2013J,187100,M,South East Region,A Level or Equivalent,50-60%,35-55,0,60,N,Distinction,,0,89.2,5.0,8562.0,231.0,4.454734651404786,1
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,60.0,1,71.66666666666667,6.0,4497.0,167.0,3.0160965794768613,0
AAA,2013J,188278,M,Yorkshire Region,A Level or Equivalent,70-80%,35-55,0,120,N,Withdrawn,,0,71.66666666666667,6.0,4497.0,167.0,3.0160965794768613,0
AAA,2013J,189879,M,Scotland,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,,0,79.4,5.0,1541.0,84.0,3.486425339366516,1
AAA,2013J,192183,F,South West Region,Lower Than A Level,90-100%,0-35,0,60,N,Pass,,0,68.4,5.0,3219.0,176.0,4.003731343283582,1
AAA,2013J,195262,M,London Region,A Level or Equivalent,90-100%,0-35,0,60,N,Withdrawn,185.0,1,50.0,1.0,1905.0,58.0,5.411931818181818,0
AAA,2013J,200860,M,London Region,Lower Than A Level,50-60%,35-55,0,60,N,Pass,,0,54.4,5.0,534.0,81.0,1.9071428571428573,1
AAA,2013J,202635,F,Wales,A Level or Equivalent,30-40%,0-35,0,60,N,Withdrawn,166.0,1,66.66666666666667,3.0,1418.0,47.0,4.774410774410774,0
AAA,2013J,205350,M,South West Region,HE Qualification,80-90%,35-55,0,60,N,Pass,,0,72.2,5.0,1665.0,126.0,2.9573712255772646,1
AAA,2013J,205719,M,East Anglian Region,A Level or Equivalent,40-50%,0-35,0,90,Y,Fail,,0,56.666666666666664,3.0,333.0,32.0,2.8461538461538463,0
AAA,2013J,227499,F,London Region,A Level or Equivalent,10-20,35-55,0,60,N,Distinction,,0,83.6,5.0,2953.0,162.0,3.6592317224287485,1
AAA,2013J,227517,M,Ireland,HE Qualification,,0-35,0,180,N,Fail,,0,62.6,5.0,1205.0,69.0,3.1136950904392764,0
AAA,2013J,228082,M,London Region,HE Qualification,60-70%,0-35,0,60,N,Pass,,0,72.4,5.0,227.0,37.0,1.6691176470588236,1
AAA,2013J,228222,M,East Midlands Region,Lower Than A Level,50-60%,0-35,0,60,N,Pass,,0,61.8,5.0,445.0,38.0,2.680722891566265,1
AAA,2013J,229179,M,West Midlands Region,A Level or Equivalent,20-30%,0-35,0,60,N,Pass,,0,66.0,5.0,614.0,50.0,3.766871165644172,1
AAA,2013J,229361,M,East Midlands Region,A Level or Equivalent,50-60%,0-35,0,60,N,Pass,,0,78.0,5.0,1215.0,123.0,3.481375358166189,1
AAA,2013J,231554,M,London Region,A Level or Equivalent,40-50%,0-35,0,240,N,Pass,,0,67.75,4.0,1839.0,86.0,4.227586206896552,1
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,109.0,1,57.833333333333336,6.0,1257.0,136.0,2.1975524475524475,0
AAA,2013J,235507,M,Yorkshire Region,A Level or Equivalent,90-100%,0-35,0,240,N,Withdrawn,,0,57.833333333333336,6.0,1257.0,136.0,2.1975524475524475,0
AAA,2013J,236284,M,Scotland,Post Graduate Qualification,90-100%,0-35,0,60,N,Pass,,0,78.0,5.0,732.0,41.0,3.4857142857142858,1
AAA,2013J,238007,M,South Region,HE Qualification,90-100%,55<=,0,60,N,Pass,,0,79.2,5.0,1935.0,162.0,2.6043068640646028,1
AAA,2013J,240712,M,London Region,HE Qualification,80-90%,0-35,0,80,N,Pass,,0,75.8,5.0,321.0,26.0,3.0,1
AAA,2013J,240884,M,South Region,A Level or Equivalent,90-100%,0-35,0,120,N,Pass,,0,58.4,5.0,427.0,44.0,2.235602094240838,1
AAA,2013J,241649,M,East Anglian Region,HE Qualification,90-100%,35-55,0,60,N,Pass,,0,78.8,5.0,1892.0,135.0,3.3019197207678883,1
AAA,2013J,241729,F,East Midlands Region,HE Qualification,60-70%,35-55,0,60,N,Fail,,0,58.6,5.0,1829.0,117.0,2.917065390749601,0
AAA,2013J,242793,M,London Region,HE Qualification,20-30%,35-55,0,60,N,Pass,,0,77.4,5.0,658.0,56.0,2.5019011406844105,1
AAA,2013J,246834,M,South West Region,A Level or Equivalent,90-100%,35-55,0,60,N,Pass,,0,55.6,5.0,1174.0,68.0,3.3447293447293447,1
AAA,2013J,248270,M,North Western Region,Lower Than A Level,20-30%,0-35,0,90,N,Pass,,0,78.4,5.0,1969.0,193.0,2.6183510638297873,1
AAA,2013J,255548,M,Wales,Lower Than A Level,20-30%,35-55,0,60,N,Pass,,0,71.4,5.0,2580.0,166.0,3.165644171779141,1
AAA,2013J,256815,M,North Western Region,HE Qualification,10-20,0-35,0,120,N,Pass,,0,76.8,5.0,1481.0,139.0,2.859073359073359,1
AAA,2013J,258392,F,West Midlands Region,Lower Than A Level,30-40%,0-35,0,60,N,Pass,,0,58.8,5.0,844.0,53.0,2.822742474916388,1
AAA,2013J,258894,F,East Anglian Region,Lower Than A Level,70-80%,35-55,0,60,N,Pass,,0,64.8,5.0,4963.0,204.0,3.6226277372262774,1
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,170.0,1,57.5,3.0,426.0,43.0,3.1791044776119404,0
AAA,2013J,260355,F,London Region,A Level or Equivalent,80-90%,35-55,0,60,N,Withdrawn,-87.0,1,57.5,3.0,426.0,43.0,3.1791044776119404,0
